domain,flow,confirmed,evidence,login_url,final_url
statuspage.com,none,,ERR:unreachable,,
stbl.com,none,,ERR:hang,,
stiltsoft.com,none,,ERR:hang,,
stonikbyte.com,none,,,https://stonikbyte.com/login,https://stonikbyte.com/login/
strata.markets,none,,,https://strata.markets/login,https://strata.markets/login
sui.io,none,,ERR:hang,,
superearn.io,none,,,https://superearn.io/login,https://superearn.io/login
superfirst.com,none,,,https://superfirst.com/login,https://resultslookup.com/?dn=superfirst.com&sksubid=281625&_slsen=1
superform.xyz,none,,ERR:hang,,
suralink.com,none,,ERR:hang,,
sushi.com,none,,,https://sushi.com/login,https://www.sushi.com/login
sweed.app,none,,,https://sweed.app/login,https://sweed.app/login
swissbankers.ch,none,,ERR:unreachable,,
swisspost-digital.ch,none,,ERR:hang,,
sykora.com,none,,ERR:unreachable,,
symbiosis.finance,none,,ERR:hang,,
symbiotic.fi,none,,,https://symbiotic.fi/login,https://symbiotic.fi/login
synfutures.com,none,,ERR:hang,,
synthetix.io,none,,ERR:hang,,
tapbit.com,token,yes,response_type=token,https://tapbit.com/login,https://www.tapbit.com/en/login
tbank.ru,none,,ERR:hang,,
tempo-team.be,none,,ERR:hang,,
tencent.com,none,,ERR:hang,,
thegraph.com,none,,ERR:hang,,
threshold.network,none,,ERR:hang,,
tickets.com,none,,ERR:hang,,
tickets.kz,jwt,yes,gis_id:accounts.id.initialize,https://tickets.kz/login,
timeweb.cloud,none,,ERR:hang,,
timeweb.com,none,,ERR:hang,,
timeweb.tech,none,,,https://my.timeweb.tech/login,https://my.timeweb.tech/login
tinder.com,none,,ERR:hang,,
tochka.com,none,,ERR:unreachable,,
toobit.com,none,,,https://toobit.com/login,https://www.toobit.com/login
torproject.org,none,,,https://torproject.org/login,https://www.torproject.org/login
tothemoon.com,none,,,https://tothemoon.com/login,https://tothemoon.com/login
trade.com,none,,,https://client.trade.com/#/login,https://client.trade.com/#/login
transit.com,none,,ERR:unreachable,,
treehouse.finance,none,,,https://treehouse.finance/login,https://www.treehouse.finance/login
trm.com,none,,,https://trm.com/login,https://trm.com/login
tron.network,none,,,,
trustedfirmware.org,none,,ERR:hang,,
truyields.com,none,,ERR:hang,,
ts.finance,none,,ERR:hang,,
turingbitchain.com,none,,ERR:hang,,
tweakers.net,none,,,https://tweakers.net/login,https://tweakers.net/login
twyne.xyz,none,,ERR:hang,,
tyler.com,none,,,https://tyler.com/login,https://tyler.com/login
ubisoft.com,none,,ERR:hang,,
ufarm.digital,none,,,https://ufarm.digital/login,https://ufarm.digital/login
ui-avatars.com,none,,,https://ui-avatars.com/login,https://ui-avatars.com/login
union.finance,none,,,https://union.finance/login,https://union.finance/login
uniswap.org,none,,,https://uniswap.org/login,https://app.uniswap.org/
unitus.finance,none,,,https://unitus.finance/login,https://unitus.finance/login#/
unstoppable.money,none,,,https://unstoppable.money/login,https://unstoppable.money/login
usdfc.com,none,,,,
usdt0.to,none,,ERR:hang,,
usefelix.xyz,none,,ERR:hang,,
usual.money,none,,,https://usual.money/login,https://usual.money/login
usx.capital,none,,,https://usx.capital/login,https://www.usx.capital/login
